# GENERATED by build/derive-ipa.py --enc 101 --syllables 0 (CMUdict, General American).
# grapheme = euspelling; ipa = headword pronunciation; gloss = headword.
grapheme,ipa,gloss
comuppance,ˌkʌˈmʌpəns,comeuppance
conceet,kənˈsiːt,conceit
conceeted,kənˈsiːtəd,conceited
conceev,kənˈsiːv,conceive
conceevable,kənˈsiːvəbəl,conceivable
conceevably,kənˈsiːvəbliː,conceivably
conceeving,kənˈsiːvɪŋ,conceiving
conclusiv,kənˈkluːsɪv,conclusive
conclusivly,kənˈkluːsɪvliː,conclusively
concorse,ˈkɑnˌkɔɹs,concourse
concorses,ˈkɑnˌkɔɹsɪz,concourses
conduciv,kənˈduːsɪv,conducive
conductiv,kənˈdʌktɪv,conductive
conefluwer,ˈkoʊnˌflaʊəɹ,coneflower
confuze,kənˈfjuːz,confuse
confuzed,kənˈfjuːzd,confused
confuzing,kənˈfjuːzɪŋ,confusing
confuzingly,kənˈfjuːzɪŋliː,confusingly
congestiv,kənˈdʒɛstɪv,congestive
congresspeeple,ˈkɑŋɡɹəˌspiːpəl,congresspeople
congresswimen,ˈkɑŋɡɹəˌswɪmɪn,congresswomen
conjur,ˈkɑndʒəɹ,conjure
connectiv,kəˈnɛktɪv,connective
conqer,ˈkɑŋkəɹ,conquer
conqering,ˈkɑŋkəɹɪŋ,conquering
conqeror,ˈkɑŋkəɹəɹ,conqueror
conqerors,ˈkɑŋkəɹəɹz,conquerors
consecutiv,kənˈsɛkjətɪv,consecutive
consecutivly,kənˈsɛkjətɪvliː,consecutively
conserv,kənˈsɜɹv,conserve
conservativ,kənˈsɜɹvətɪv,conservative
conservativly,kənˈsɜɹvətɪvliː,conservatively
conservativs,kənˈsɜɹvətɪvz,conservatives
considerat,kənˈsɪdəɹət,considerate
constructiv,kənˈstɹʌktɪv,constructive
constructivly,kənˈstɹʌktɪvliː,constructively
consulat,ˈkɑnsələt,consulate
consulats,ˈkɑnsələts,consulates
consultativ,kənˈsʌltətɪv,consultative
contemplativ,kənˈtɛmplətɪv,contemplative
contoor,ˈkɑnˌtʊɹ,contour
contraceptiv,ˌkɑntɹəˈsɛptɪv,contraceptive
contraceptivs,ˌkɑntɹəˈsɛptɪvz,contraceptives
contries,ˈkʌntɹiːz,countries
contry,ˈkʌntɹiː,country
contryman,ˈkʌntɹiːmən,countryman
contrymen,ˈkʌntɹiːmɪn,countrymen
contryside,ˈkʌntɹiːˌsaɪd,countryside
contrywide,ˈkʌntɹiːˌwaɪd,countrywide
convectiv,kənˈvɛktɪv,convective
convulsiv,kənˈvʌlsɪv,convulsive
coogar,ˈkuːɡəɹ,cougar
coogars,ˈkuːɡəɹz,cougars
cooperativ,koʊˈɑpəɹˌeɪtɪv,cooperative
cooperativly,koʊˈɑpɹətɪvliː,cooperatively
cooperativs,koʊˈɑpɹətɪvz,cooperatives
cooqhie,ˈkuːtʃiː,coochie
coorant,ˈkʊɹənt,courant
copperhedd,ˈkɑpəɹˌhɛd,copperhead
copperhedds,ˈkɑpəɹˌhɛdz,copperheads
copyriht,ˈkɑpiːˌɹaɪt,copyright
copyrihtable,ˈkɑpiːˌɹaɪtəbəl,copyrightable
copyrihted,ˈkɑpiːˌɹaɪtɪd,copyrighted
coqhairman,ˈkoʊˌtʃɛɹmən,cochairman
coqhin,ˈkoʊtʃɪn,cochin
corman,ˈkɔɹmən,corpsman
cornbredd,ˈkɔɹnˌbɹɛd,cornbread
cornfluwer,ˈkɔɹnˌflaʊəɹ,cornflower
cornfluwers,ˈkɔɹnˌflaʊəɹz,cornflowers
cornstahk,ˈkɔɹnˌstɔk,cornstalk
cornstahks,ˈkɔɹnˌstɔks,cornstalks
cornstarqh,ˈkɔɹnˌstɑɹtʃ,cornstarch
corporat,ˈkɔɹpəɹət,corporate
corporats,ˈkɔɹpəɹəts,corporates
correctiv,kəɹˈɛktɪv,corrective
corroborativ,kəɹˈɑbəɹəˌtɪv,corroborative
corrosiv,kəɹˈoʊsɪv,corrosive
corruptiv,kəɹˈʌptɪv,corruptive
corser,ˈkɔɹsəɹ,courser
corsing,ˈkɔɹsɪŋ,coursing
corted,ˈkɔɹtɪd,courted
corter,ˈkɔɹtəɹ,courter
corthouse,ˈkɔɹtˌhaʊs,courthouse
corthouses,ˈkɔɹtˌhaʊsɪz,courthouses
cortier,ˈkɔɹtiːəɹ,courtier
cortiers,ˈkɔɹtiːəɹz,courtiers
corting,ˈkɔɹtɪŋ,courting
cortly,ˈkɔɹtliː,courtly
cortroom,ˈkɔɹˌtɹuːm,courtroom
cortrooms,ˈkɔɹˌtɹuːmz,courtrooms
cortship,ˈkɔɹˌtʃɪp,courtship
cortyard,ˈkɔɹˌtjɑɹd,courtyard
cortyards,ˈkɔɹˌtjɑɹdz,courtyards
cosin,ˈkʌzən,cousin
cosins,ˈkʌzənz,cousins
councilwimen,ˈkaʊnsəlˌwɪmən,councilwomen
countduwn,ˈkaʊntˌdaʊn,countdown
countduwns,ˈkaʊntˌdaʊnz,countdowns
counterfet,ˈkaʊntəɹˌfɪt,counterfeit
counterfeted,ˈkaʊntəɹˌfɪtɪd,counterfeited
counterfeter,ˈkaʊntəɹˌfɪtəɹ,counterfeiter
counterfeters,ˈkaʊntəɹˌfɪtəɹz,counterfeiters
counterfeting,ˈkaʊntəɹˌfɪtɪŋ,counterfeiting
countermesure,ˈkaʊntəɹˌmɛʒəɹ,countermeasure
countermesures,ˈkaʊntəɹˌmɛʒəɹz,countermeasures
countermoov,ˈkaʊntəɹˌmuːv,countermove
counteroffensiv,ˌkaʊntəɹɔˈfɛnsɪv,counteroffensive
counteroffensivs,ˌkaʊntəɹɔˈfɛnsɪvz,counteroffensives
counterproductiv,ˈkaʊntəɹpɹəˌdʌktɪv,counterproductive
counterpunqh,ˈkaʊntəɹˌpʌntʃ,counterpunch
counterqharge,ˈkaʊntəɹˌtʃɑɹdʒ,countercharge
countersuht,ˈkaʊntəɹˌsuːt,countersuit
counterweiht,ˈkaʊntəɹˌweɪt,counterweight
counterweihts,ˈkaʊntəɹˌweɪts,counterweights
couqhing,ˈkaʊtʃɪŋ,couching
crackduwn,ˈkɹækˌdaʊn,crackdown
crackduwns,ˈkɹækˌdaʊnz,crackdowns
craftspeeple,ˈkɹæftˌspiːpəl,craftspeople
creativ,kɹiːˈeɪtɪv,creative
creativly,kɹiːˈeɪtɪvliː,creatively
creativness,kɹiːˈeɪtɪvnəs,creativeness
critiqe,kɹəˈtiːk,critique
critiqed,kɹɪˈtiːkt,critiqued
critiqing,kɹɪˈtiːkɪŋ,critiquing
crosstahk,ˈkɹɔˌstɔk,crosstalk
crosstuwn,ˈkɹɔˌstaʊn,crosstown
crosswahk,ˈkɹɑˌswɑk,crosswalk
crosswahks,ˈkɹɑˌswɑks,crosswalks
crouqhing,ˈkɹaʊtʃɪŋ,crouching
crunqher,ˈkɹʌntʃəɹ,cruncher
crunqhers,ˈkɹʌntʃəɹz,crunchers
crunqhing,ˈkɹʌntʃɪŋ,crunching
crunqhy,ˈkɹʌntʃiː,crunchy
cruser,ˈkɹuːzəɹ,cruiser
crusers,ˈkɹuːzəɹz,cruisers
crusing,ˈkɹuːzɪŋ,cruising
cruwded,ˈkɹaʊdəd,crowded
cruwder,ˈkɹaʊdəɹ,crowder
cruwding,ˈkɹaʊdɪŋ,crowding
cruwner,ˈkɹaʊnəɹ,crowner
cruwning,ˈkɹaʊnɪŋ,crowning
cumbersom,ˈkʌmbəɹsəm,cumbersome
cumulativ,ˈkjuːmjələtɪv,cumulative
cumulativly,ˈkjuːmjələtɪvliː,cumulatively
cupple,ˈkʌpəl,couple
cuppled,ˈkʌpəld,coupled
cuppler,ˈkʌpləɹ,coupler
cupplers,ˈkʌpləɹz,couplers
cuppling,ˈkʌplɪŋ,coupling
cupplings,ˈkʌplɪŋz,couplings
curativ,ˈkjʊɹətɪv,curative
curmujjen,kəɹˈmʌdʒɪn,curmudgeon
curmujjens,kəɹˈmʌdʒɪnz,curmudgeons
currage,ˈkɜɹədʒ,courage
currageous,kəɹˈeɪdʒəs,courageous
currageously,kəɹˈeɪdʒəsliː,courageously
currier,ˈkɜɹiːəɹ,courier
curriers,ˈkɜɹiːəɹz,couriers
curteous,ˈkɜɹtiːəs,courteous
curtesy,ˈkɜɹtəsiː,courtesy
cushon,ˈkʊʃən,cushion
cushoning,ˈkʊʃənɪŋ,cushioning
cuward,ˈkaʊəɹd,coward
cuwardice,ˈkaʊəɹdəs,cowardice
cuwardly,ˈkaʊəɹdliː,cowardly
cuwards,ˈkaʊəɹdz,cowards
cuwbell,ˈkaʊˌbɛl,cowbell
cuwbells,ˈkaʊˌbɛlz,cowbells
cuwboy,ˈkaʊˌbɔɪ,cowboy
cuwboys,ˈkaʊˌbɔɪz,cowboys
cuwer,ˈkaʊəɹ,cower
cuwering,ˈkaʊəɹɪŋ,cowering
cuwgirl,ˈkaʊˌɡɜɹl,cowgirl
cuwgirls,ˈkaʊˌɡɜɹlz,cowgirls
cuwherd,ˈkaʊˌhɜɹd,cowherd
cuwing,ˈkaʊɪŋ,cowing
cuwlick,ˈkaʊlɪk,cowlick
cuwlicks,ˈkaʊlɪks,cowlicks
cuwling,ˈkaʊlɪŋ,cowling
cuwlings,ˈkaʊlɪŋz,cowlings
cuwman,ˈkaʊmən,cowman
cuwries,ˈkaʊɹiːz,cowries
cuwslip,ˈkaʊslɪp,cowslip
dabqhick,ˈdæbtʃɪk,dabchick
daqha,ˈdɑtʃə,dacha
daqiri,ˈdækəɹiː,daiquiri
darndest,ˈdɑɹndɛst,darnedest
dauhter,ˈdɔtəɹ,daughter
dauhters,ˈdɔtəɹz,daughters
daybraek,ˈdeɪˌbɹeɪk,daybreak
dayliht,ˈdeɪˌlaɪt,daylight
debauqhery,dəˈbɔtʃəɹiː,debauchery
deceet,dəˈsiːt,deceit
deceetful,dəˈsiːtfəl,deceitful
deceets,dəˈsiːts,deceits
deceev,dɪˈsiːv,deceive
deceeving,dɪˈsiːvɪŋ,deceiving
deceptiv,dɪˈsɛptɪv,deceptive
deceptivly,dɪˈsɛptɪvliː,deceptively
decisiv,dɪˈsaɪsɪv,decisive
decisivly,dɪˈsaɪsɪvliː,decisively
decisivness,dɪˈsaɪsɪvnəs,decisiveness
decorativ,ˈdɛkɹətɪv,decorative
decupple,diːˈkʌpəl,decouple
decuppling,diːˈkʌplɪŋ,decoupling
deddbeat,ˈdɛdˌbiːt,deadbeat
deddbeats,ˈdɛdˌbiːts,deadbeats
deddbolt,ˈdɛdˌboʊlt,deadbolt
dedden,ˈdɛdən,deaden
deddening,ˈdɛdənɪŋ,deadening
dedder,ˈdɛdəɹ,deader
deddhedd,ˈdɛdˌhɛd,deadhead
deddlier,ˈdɛdliːəɹ,deadlier
deddliest,ˈdɛdliːəst,deadliest
deddline,ˈdɛdˌlaɪn,deadline
deddliness,ˈdɛdliːnəs,deadliness
deddlock,ˈdɛdˌlɑk,deadlock
deddly,ˈdɛdliː,deadly
deddpan,ˈdɛdˌpæn,deadpan
deddweiht,ˈdɛˌdweɪt,deadweight
deddwood,ˈdɛˌdwʊd,deadwood
deductiv,dɪˈdʌktəv,deductive
deductivly,dɪˈdʌktəvliː,deductively
defectiv,dɪˈfɛktɪv,defective
defensiv,dɪˈfɛnsɪv,defensive
defensivly,dɪˈfɛnsɪvliː,defensively
defensivness,dɪˈfɛnsɪvnəs,defensiveness
deffen,ˈdɛfən,deafen
deffening,ˈdɛfənɪŋ,deafening
deffness,ˈdɛfnəs,deafness
definit,ˈdɛfənət,definite
definitiv,dɪˈfɪnɪtɪv,definitive
definitivly,dɪˈfɪnɪtɪvliː,definitively
definitly,ˈdɛfənətliː,definitely
degenerativ,dɪˈdʒɛnəɹətɪv,degenerative
deliberativ,dɪˈlɪbəɹˌeɪtɪv,deliberative
deliberatly,dɪˈlɪbəɹətliː,deliberately
delicat,ˈdɛləkət,delicate
delicatly,ˈdɛləkətliː,delicately
deliht,dɪˈlaɪt,delight
delihted,dɪˈlaɪtəd,delighted
delihtful,dɪˈlaɪtfəl,delightful
delihtfully,dɪˈlaɪtfəliː,delightfully
delihting,dɪˈlaɪtɪŋ,delighting
demonstrativ,dɪˈmɑnstɹətɪv,demonstrative
depressiv,dɪˈpɹɛsɪv,depressive
derisiv,dəɹˈɪsɪv,derisive
derisivly,dəɹˈɪsɪvliː,derisively
derivativ,dəɹˈɪvətɪv,derivative
derivativs,dəɹˈɪvətɪvz,derivatives
descriptiv,dɪˈskɹɪptɪv,descriptive
deserv,dɪˈzɜɹv,deserve
desperat,ˈdɛspɹɪt,desperate
desperatly,ˈdɛspəɹətliː,desperately
destructiv,dɪˈstɹʌktɪv,destructive
destructivness,dɪˈstɹʌktɪvnɪs,destructiveness
detaqh,dɪˈtætʃ,detach
detaqhable,dɪˈtætʃəbəl,detachable
detaqhment,dɪˈtætʃmənt,detachment
detectiv,dɪˈtɛktɪv,detective
detectivs,dɪˈtɛktɪvz,detectives
determin,dəˈtɜɹmən,determine
determinat,dɪˈtɜɹməˌneɪt,determinate
determinativ,dɪˈtɜɹmɪnəˌtɪv,determinative
dethbed,ˈdɛθˌbɛd,deathbed
dethly,ˈdɛθliː,deathly
dethwatch,ˈdɛˌθwɑtʃ,deathwatch
detoor,dɪˈtʊɹ,detour
dettor,ˈdɛtəɹ,debtor
dettors,ˈdɛtəɹz,debtors
devolv,dɪˈvɑlv,devolve
diffuze,dɪˈfjuːs,diffuse
diffuzed,dɪˈfjuːzd,diffused
diffuzing,dɪˈfjuːzɪŋ,diffusing
digestiv,daɪˈdʒɛstɪv,digestive
dilutiv,dəˈluːtɪv,dilutive
diminutiv,dɪˈmɪnjətɪv,diminutive
directiv,dəɹˈɛktɪv,directive
directivs,daɪˈɹɛktɪvz,directives
directorat,dəɹˈɛktəɹət,directorate
disabuze,dɪsəˈbjuːs,disabuse
disabuzed,dɪsəˈbjuːzd,disabused
disalluw,ˌdɪsəˈlaʊ,disallow
disalluwance,ˌdɪsəˈlaʊəns,disallowance
disalluwances,ˌdɪsəˈlaʊənsɪz,disallowances
disalluwing,dɪsəˈlaʊɪŋ,disallowing
disapproov,ˌdɪsəˈpɹuːv,disapprove
disapprooval,dɪsəˈpɹuːvəl,disapproval
disapprooving,dɪsəˈpɹuːvɪŋ,disapproving
disavuw,ˌdɪsəˈvaʊ,disavow
disavuwing,dɪsəˈvaʊɪŋ,disavowing
disbeliev,dɪsbəˈliːv,disbelieve
disciplin,ˈdɪsəplən,discipline
discloze,dɪˈskloʊz,disclose
disclozed,dɪˈskloʊzd,disclosed
disclozing,dɪˈskloʊzɪŋ,disclosing
discorse,ˈdɪskɔɹs,discourse
discotheq,ˈdɪskoʊˌtɛk,discotheque
discriminativ,dɪˈskɹɪmənətɪv,discriminative
discurrage,dɪˈskɜɹɪdʒ,discourage
discurraged,dɪˈskɜɹədʒd,discouraged
discurragement,dɪˈskɜɹɪdʒmənt,discouragement
discurraging,dɪˈskɜɹədʒɪŋ,discouraging
discursiv,dɪˈskɜɹsɪv,discursive
disenfranqhise,dɪsɪnˈfɹænˌtʃaɪz,disenfranchise
disenfranqhised,dɪsɪnˈfɹænˌtʃaɪzd,disenfranchised
disenfranqhisement,dɪsɪnˈfɹænˌtʃaɪzmənt,disenfranchisement
disenqhanted,dɪsɪnˈtʃæntɪd,disenchanted
disenqhantment,dɪsɪnˈtʃæntmənt,disenchantment
disghise,dɪsˈɡaɪz,disguise
disghised,dɪsˈɡaɪzd,disguised
disghising,dɪsˈɡaɪzɪŋ,disguising
dishartening,dɪsˈhɑɹtənɪŋ,disheartening
disincentiv,ˌdɪsɪnˈsɛntɪv,disincentive
disincentivs,ˌdɪsɪnˈsɛntɪvz,disincentives
dismissiv,dɪˈsmɪsɪv,dismissive
disparat,ˈdɪspəɹɪt,disparate
dispassionat,dɪˈspæʃənət,dispassionate
dispassionatly,dɪˈspæʃənətliː,dispassionately
dispersiv,dɪˈspɜɹsɪv,dispersive
displesure,dɪˈsplɛʒəɹ,displeasure
dispositiv,ˌdɪˈspɑzətɪv,dispositive
disproov,dɪˈspɹuːv,disprove
disprooven,dɪˈspɹuːvɪn,disproven
disproportionatly,ˌdɪspɹəˈpɔɹʃənətliː,disproportionately
disqharge,dɪsˈtʃɑɹdʒ,discharge
disqharged,dɪsˈtʃɑɹdʒd,discharged
disqharging,dɪsˈtʃɑɹdʒɪŋ,discharging
disruptiv,dɪsˈɹʌptɪv,disruptive
dissipativ,ˈdɪsəˌpeɪtɪv,dissipative
dissolv,dɪˈzɑlv,dissolve
distill,dɪˈstɪl,distil
distillat,ˈdɪstəˌleɪt,distillate
distillats,ˈdɪstəˌleɪts,distillates
distinctiv,dɪˈstɪŋktɪv,distinctive
distinctivly,dɪˈstɪŋktɪvliː,distinctively
distinctivness,dɪˈstɪŋktɪvnəs,distinctiveness
distrauht,dɪˈstɹɔt,distraught
distributiv,dɪˈstɹɪbjuːtɪv,distributive
divisiv,dɪˈvaɪsɪv,divisive
divisivness,dɪˈvaɪsɪvnəs,divisiveness
doctorat,ˈdɑktəɹət,doctorate
doctorats,ˈdɑktəɹəts,doctorates
doctrin,ˈdɑktɹən,doctrine
doctrins,ˈdɑktɹənz,doctrines
dogfiht,ˈdɑɡˌfaɪt,dogfight
doggon,ˈdɔɡɔn,doggone
dohboy,ˈdoʊˌbɔɪ,doughboy
dohnut,ˈdoʊˌnʌt,doughnut
dohy,ˈdoʊiː,doughy
dorrbell,ˈdɔɹˌbɛl,doorbell
dorrkeeper,ˈdɔɹˌkiːpəɹ,doorkeeper
dorrknob,ˈduːɹnɑb,doorknob
dorrman,ˈdɔɹˌmæn,doorman
dorrmat,ˈdɔɹˌmæt,doormat
dorrmats,ˈdɔɹˌmæts,doormats
dorrnail,ˈdɔɹˌneɪl,doornail
dorrsill,ˈdɔɹsɪl,doorsill
dorrstep,ˈdɔɹˌstɛp,doorstep
dorrsteps,ˈdɔɹˌstɛps,doorsteps
dorrway,ˈdɔɹˌweɪ,doorway
douhty,ˈdɔtiː,doughty
dounuts,ˈdoʊˌnʌts,doughnuts
douted,ˈdaʊtɪd,doubted
douter,ˈdaʊtəɹ,doubter
douters,ˈdaʊtəɹz,doubters
doutful,ˈdaʊtfəl,doubtful
douting,ˈdaʊtɪŋ,doubting
doutless,ˈdaʊtləs,doubtless
dovtail,ˈdʌvˌteɪl,dovetail
dragonhedd,ˈdɹæɡənˌhɛd,dragonhead
drawduwn,ˈdɹɔˌdaʊn,drawdown
drawduwns,ˈdɹɔˌdaʊnz,drawdowns
dredded,ˈdɹɛdɪd,dreaded
dreddful,ˈdɹɛdfəl,dreadful
dreddfully,ˈdɹɛdfəliː,dreadfully
dredding,ˈdɹɛdɪŋ,dreading
dreddnoht,ˈdɹɛdˌnɔt,dreadnought
drenqhing,ˈdɹɛntʃɪŋ,drenching
drumhedd,ˈdɹʌmˌhɛd,drumhead
druwning,ˈdɹaʊnɪŋ,drowning
druwsiness,ˈdɹaʊziːnəs,drowsiness
druwsy,ˈdɹaʊziː,drowsy
duable,ˈduːəbəl,doable
dubble,ˈdʌbəl,double
dubbled,ˈdʌbəld,doubled
dubblespeak,ˈdʌbəlˌspiːk,doublespeak
dubblethink,ˈdʌbəlˌθɪŋk,doublethink
dubbling,ˈdʌbəlɪŋ,doubling
dubbly,ˈdʌbliː,doubly
duers,ˈduːəɹz,doers
duing,ˈduːɪŋ,doing
duings,ˈduːɪŋz,doings
dujjen,ˈdʌdʒən,dudgeon
duma,ˈdoʊmə,douma
dummer,ˈdʌməɹ,dumber
dummest,ˈdʌməst,dumbest
dummfound,ˈdʌmfaʊnd,dumbfound
dummfounded,ˈdʌmfaʊndɪd,dumbfounded
dummfounding,ˈdʌmfaʊndɪŋ,dumbfounding
dumming,ˈdʌmɪŋ,dumbing
dummstruck,ˈdʌmˌstɹʌk,dumbstruck
dunjen,ˈdʌndʒən,dungeon
duplicativ,duːˈplɪkətɪv,duplicative
duqhess,ˈdʌtʃəs,duchess
duqhy,ˈdʌtʃiː,duchy
duwager,ˈdaʊədʒəɹ,dowager
duwdy,ˈdaʊdiː,dowdy
duwel,ˈdaʊəl,dowel
duwie,ˈdaʊiː,dowie
duwnbeat,daʊnˈbiːt,downbeat
duwncast,ˈdaʊnˌkæst,downcast
duwndraft,ˈdaʊnˌdɹæft,downdraft
duwner,ˈdaʊnəɹ,downer
duwners,ˈdaʊnəɹz,downers
duwnfall,ˈdaʊnˌfɔl,downfall
duwngrade,ˈdaʊnˌɡɹeɪd,downgrade
duwngraded,ˈdaʊnˌɡɹeɪdəd,downgraded
duwngrading,ˈdaʊnˌɡɹeɪdɪŋ,downgrading
duwnhill,ˈdaʊnˌhɪl,downhill
duwning,ˈdaʊnɪŋ,downing
duwnload,ˈdaʊnˌloʊd,download
duwnloaded,ˈdaʊnˌloʊdɪd,downloaded
duwnloading,ˈdaʊnˌloʊdɪŋ,downloading
duwnplay,ˈdaʊnˌpleɪ,downplay
duwnplaying,ˈdaʊnˌpleɪɪŋ,downplaying
duwnporr,ˈdaʊnpɔɹ,downpour
duwnporrs,ˈdaʊnˌpɔɹz,downpours
duwnrange,ˈdaʊnˌɹeɪndʒ,downrange
duwnriht,ˈdaʊnˌɹaɪt,downright
duwnriver,ˌdaʊnˈɹɪvəɹ,downriver
duwnscale,ˈdaʊnˌskeɪl,downscale
duwnside,ˈdaʊnˌsaɪd,downside
duwnsides,ˈdaʊnˌsaɪdz,downsides
duwnsize,ˈdaʊnˌsaɪz,downsize
duwnsized,ˈdaʊnˌsaɪzd,downsized
duwnsizing,ˈdaʊnˌsaɪzɪŋ,downsizing
duwnstage,ˈdaʊnˌsteɪdʒ,downstage
duwnstairs,ˈdaʊnˌstɛɹz,downstairs
duwnstate,ˈdaʊnˌsteɪt,downstate
duwnstream,ˈdaʊnˌstɹiːm,downstream
duwnswing,ˈdaʊnˌswɪŋ,downswing
duwntime,ˈdaʊnˌtaɪm,downtime
duwntrend,ˈdaʊnˌtɹɛnd,downtrend
duwntrodden,ˌdaʊnˈtɹɑdən,downtrodden
duwnturn,ˈdaʊnˌtɜɹn,downturn
duwnturns,ˈdaʊnˌtɜɹnz,downturns
duwntuwn,ˈdaʊnˌtaʊn,downtown
duwntuwns,ˈdaʊnˌtaʊnz,downtowns
duwnward,ˈdaʊnwəɹd,downward
duwnwardly,ˈdaʊnwəɹdliː,downwardly
duwnwards,ˈdaʊnwəɹdz,downwards
duwnwind,daʊnˈwɪnd,downwind
duwny,ˈdaʊniː,downy
duwry,ˈdaʊɹiː,dowry
duwsing,ˈdaʊsɪŋ,dowsing
eavsdrop,ˈiːvzˌdɹɑp,eavesdrop
eavsdropping,ˈiːvzˌdɹɑpɪŋ,eavesdropping
effectiv,ɪˈfɛktɪv,effective
effectivly,ɪˈfɛktɪvliː,effectively
effectivness,ɪˈfɛktɪvnəs,effectiveness
effusiv,ˈɛfjuːsɪv,effusive
effusivly,ɪˈfjuːsɪvliː,effusively
egghedd,ˈɛɡˌhɛd,egghead
egghedds,ˈɛɡˌhɛdz,eggheads
eihteen,eɪˈtiːn,eighteen
eihteens,eɪˈtiːnz,eighteens
eihteenth,eɪˈtiːnθ,eighteenth
eihtfold,ˈeɪtˌfoʊld,eightfold
eihties,ˈeɪtiːz,eighties
eihtieth,ˈeɪtiːɪθ,eightieth
eihty,ˈeɪtiː,eighty
elaboratly,ɪˈlæbɹətliː,elaborately
electiv,ɪˈlɛktɪv,elective
electivs,ɪˈlɛktɪvz,electives
electorat,ɪˈlɛktəɹət,electorate
electorats,ɪˈlɛktəɹəts,electorates
elucidativ,ɪˈluːsəˌdeɪtɪv,elucidative
elusiv,ɪˈluːsɪv,elusive
elusivness,ɪˈluːsɪvnəs,elusiveness
embahm,ɛmˈbɑm,embalm
embahming,ɛmˈbɑmɪŋ,embalming
emotiv,ɪˈmoʊtɪv,emotive
empuwer,ɪmˈpaʊəɹ,empower
empuwering,ɪmˈpaʊəɹɪŋ,empowering
empuwerment,ɪmˈpaʊəɹmənt,empowerment
encroaqh,ɪnˈkɹoʊtʃ,encroach
encroaqhing,ɪnˈkɹoʊtʃɪŋ,encroaching
encroaqhment,ɛnˈkɹoʊtʃmənt,encroachment
encroaqhments,ɪnˈkɹoʊtʃmənts,encroachments
encurrage,ɛnˈkɜɹɪdʒ,encourage
encurraged,ɛnˈkɜɹɪdʒd,encouraged
encurragement,ɛnˈkɜɹɪdʒmənt,encouragement
encurraging,ɛnˈkɜɹɪdʒɪŋ,encouraging
encyclopedia,ɪnˌsaɪkləˈpiːdiːə,encyclopaedia
endevor,ɪnˈdɛvəɹ,endeavour
endevoring,ɪnˈdɛvəɹɪŋ,endeavoring
enduw,ɛnˈdaʊ,endow
enduwing,ɛnˈdaʊɪŋ,endowing
enduwment,ɛnˈdaʊmənt,endowment
enduwments,ɛnˈdaʊmənts,endowments
enfranqhise,ɪnˈfɹænˌtʃaɪz,enfranchise
enfranqhised,ɛnˈfɹænˌtʃaɪzd,enfranchised
engin,ˈɛndʒən,engine
engind,ˈɛndʒənd,engined
engins,ˈɛndʒənz,engines
enlihten,ɛnˈlaɪtən,enlighten
enlihtening,ɛnˈlaɪtənɪŋ,enlightening
enlihtenment,ɛnˈlaɪtənmənt,enlightenment
enqhant,ɛnˈtʃænt,enchant
enqhanted,ɛnˈtʃæntɪd,enchanted
enqhanter,ɛnˈtʃæntəɹ,enchanter
enqhanters,ɛnˈtʃæntəɹz,enchanters
enqhanting,ɛnˈtʃæntɪŋ,enchanting
enqhantment,ɛnˈtʃæntmənt,enchantment
enqhilada,ɛntʃɪˈlɑdə,enchilada
enriqh,ɛnˈɹɪtʃ,enrich
enriqhing,ɛnˈɹɪtʃɪŋ,enriching
enriqhment,ɛnˈɹɪtʃmənt,enrichment
ensin,ˈɛnsən,ensign
entoom,ɛnˈtuːm,entomb
entoomment,ɪnˈtuːmmənt,entombment
entrenqh,ɛnˈtɹɛntʃ,entrench
entrenqhing,ɛnˈtɹɛntʃɪŋ,entrenching
entrenqhment,ɛnˈtɹɛntʃmənt,entrenchment
enuff,ɪˈnʌf,enough
erldom,ˈɜɹldəm,earldom
erlier,ˈɜɹliːəɹ,earlier
erliest,ˈɜɹliːəst,earliest
erly,ˈɜɹliː,early
ermin,ˈɜɹmən,ermine
erner,ˈɜɹnəɹ,earner
erners,ˈɜɹnəɹz,earners
ernest,ˈɜɹnɪst,earnest
ernestly,ˈɜɹnəstliː,earnestly
ernestness,ˈɜɹnəstnəs,earnestness
erning,ˈɜɹnɪŋ,earning
ernings,ˈɜɹnɪŋz,earnings
erosiv,ɪˈɹoʊsɪv,erosive
erthbound,ˈɜɹθˌbaʊnd,earthbound
erthen,ˈɜɹθən,earthen
erthenware,ˈɜɹθənˌwɛɹ,earthenware
erthling,ˈɜɹθlɪŋ,earthling
erthlings,ˈɜɹθlɪŋz,earthlings
erthly,ˈɜɹθliː,earthly
erthmooving,ˈɜɹθˌmuːvɪŋ,earthmoving
erthquake,ˈɜɹθˌkweɪk,earthquake
erthquakes,ˈɜɹθˌkweɪks,earthquakes
erthshaking,ˈɜɹθˌʃeɪkɪŋ,earthshaking
erthshine,ˈɜɹθˌʃaɪn,earthshine
erthstar,ˈɜɹθˌstɑɹ,earthstar
erthwork,ˈɜɹˌθwɜɹk,earthwork
erthworm,ˈɜɹˌθwɜɹm,earthworm
erthworms,ˈɜɹˌθwɜɹmz,earthworms
erthy,ˈɜɹθiː,earthy
eruptiv,ɪˈɹʌptɪv,eruptive
esqhew,ɛsˈtʃuː,eschew
esqhewing,ˌɛˈʃuːɪŋ,eschewing
etiqet,ˈɛtəkət,etiquette
evasiv,ɪˈveɪsɪv,evasive
evilduer,ˈiːvəlˌduːəɹ,evildoer
